Delivery Date,Delivery Hour,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,DayStatus,Temperature in F,Load in Houston,Settlement Point Price
1/1/2015,1,N,LZ_HOUSTON,LZ,Public Holiday,44,9844.2,22.47
1/1/2015,2,N,LZ_HOUSTON,LZ,Public Holiday,44,9653.46,22.31
1/1/2015,3,N,LZ_HOUSTON,LZ,Public Holiday,44,9502.3,22.2
1/1/2015,4,N,LZ_HOUSTON,LZ,Public Holiday,44,9474.48,22.13
1/1/2015,5,N,LZ_HOUSTON,LZ,Public Holiday,44,9554.37,22.16
1/1/2015,6,N,LZ_HOUSTON,LZ,Public Holiday,43,9741.11,22.61
1/1/2015,7,N,LZ_HOUSTON,LZ,Public Holiday,43,9867.97,23.38
1/1/2015,8,N,LZ_HOUSTON,LZ,Public Holiday,43,9903.34,23.78
1/1/2015,9,N,LZ_HOUSTON,LZ,Public Holiday,43,10027.95,24.46
1/1/2015,10,N,LZ_HOUSTON,LZ,Public Holiday,43,10365.79,26.99
1/1/2015,11,N,LZ_HOUSTON,LZ,Public Holiday,44,10703.62,27.95
1/1/2015,12,N,LZ_HOUSTON,LZ,Public Holiday,44,10897.49,28.42
1/1/2015,13,N,LZ_HOUSTON,LZ,Public Holiday,45,10929.63,27.49
1/1/2015,14,N,LZ_HOUSTON,LZ,Public Holiday,45,10838.47,26.2
1/1/2015,15,N,LZ_HOUSTON,LZ,Public Holiday,45,10731.55,24.86
1/1/2015,16,N,LZ_HOUSTON,LZ,Public Holiday,44,10669.17,24.62
1/1/2015,17,N,LZ_HOUSTON,LZ,Public Holiday,44,10751.43,25.53
1/1/2015,18,N,LZ_HOUSTON,LZ,Public Holiday,44,11216.55,29.31
1/1/2015,19,N,LZ_HOUSTON,LZ,Public Holiday,44,11355.27,28.61
1/1/2015,20,N,LZ_HOUSTON,LZ,Public Holiday,44,11193.95,27.57
1/1/2015,21,N,LZ_HOUSTON,LZ,Public Holiday,44,10976.15,27.45
1/1/2015,22,N,LZ_HOUSTON,LZ,Public Holiday,44,10684.95,25.44
1/1/2015,23,N,LZ_HOUSTON,LZ,Public Holiday,44,10240.35,24.23
1/1/2015,24,N,LZ_HOUSTON,LZ,Public Holiday,45,9740.29,22.85
1/2/2015,1,N,LZ_HOUSTON,LZ,Weekday,45,9309.72,21.97
1/2/2015,2,N,LZ_HOUSTON,LZ,Weekday,46,9044.79,21.32
1/2/2015,3,N,LZ_HOUSTON,LZ,Weekday,46,8910.15,20.94
1/2/2015,4,N,LZ_HOUSTON,LZ,Weekday,46,8914.61,20.92
1/2/2015,5,N,LZ_HOUSTON,LZ,Weekday,46,9093.42,21.25
1/2/2015,6,N,LZ_HOUSTON,LZ,Weekday,46,9506.32,21.95
1/2/2015,7,N,LZ_HOUSTON,LZ,Weekday,47,10003.94,22.62
1/2/2015,8,N,LZ_HOUSTON,LZ,Weekday,48,10295.6,23.66
1/2/2015,9,N,LZ_HOUSTON,LZ,Weekday,48,10428.88,24.68
1/2/2015,10,N,LZ_HOUSTON,LZ,Weekday,49,10640.76,26.52
1/2/2015,11,N,LZ_HOUSTON,LZ,Weekday,50,10766.88,27.5
1/2/2015,12,N,LZ_HOUSTON,LZ,Weekday,52,10699.7,26.57
1/2/2015,13,N,LZ_HOUSTON,LZ,Weekday,53,10638.39,25.17
1/2/2015,14,N,LZ_HOUSTON,LZ,Weekday,53,10567.23,24.89
1/2/2015,15,N,LZ_HOUSTON,LZ,Weekday,54,10456.46,24.56
1/2/2015,16,N,LZ_HOUSTON,LZ,Weekday,54,10371.23,24.59
1/2/2015,17,N,LZ_HOUSTON,LZ,Weekday,54,10392.53,25.29
1/2/2015,18,N,LZ_HOUSTON,LZ,Weekday,55,10757.83,28.41
1/2/2015,19,N,LZ_HOUSTON,LZ,Weekday,55,10763.74,27.19
1/2/2015,20,N,LZ_HOUSTON,LZ,Weekday,56,10553.48,28.13
1/2/2015,21,N,LZ_HOUSTON,LZ,Weekday,58,10373.87,26.91
1/2/2015,22,N,LZ_HOUSTON,LZ,Weekday,59,10029.12,25.48
1/2/2015,23,N,LZ_HOUSTON,LZ,Weekday,59,9584.86,24.35
